version,DSC,NOH,ANA,DAM,DCC,CAM,MOA,MFA,NOP,CIS,NOM,DSC_norm,NOH_norm,ANA_norm,DAM_norm,DCC_norm,CAM_norm,MOA_norm,MFA_norm,NOP_norm,CIS_norm,NOM_norm
0.9.0,238.0,35.0,0.6176,0.899,2.3487,0.407,0.3739,0.2469,3.2731,3.9202,5.1555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9.2,267.0,39.0,0.6704,0.8936,2.3633,0.3874,0.4045,0.2721,3.191,3.9139,5.2397,1.1218,1.1143,1.0854,0.994,1.0062,0.9519,1.0817,1.1023,0.9749,0.9984,1.0163
1.0.0,289.0,43.0,0.6401,0.901,2.474,0.4066,0.4533,0.2602,3.1211,3.5779,5.1488,1.2143,1.2286,1.0364,1.0022,1.0534,0.9991,1.2122,1.0539,0.9536,0.9127,0.9987
1.0.1,312.0,50.0,0.5897,0.9009,2.5673,0.4109,0.4647,0.2368,3.125,3.5994,5.1795,1.3109,1.4286,0.9548,1.0021,1.0931,1.0096,1.2428,0.9591,0.9547,0.9182,1.0047
1.1.0,349.0,53.0,0.5759,0.92,2.8739,0.3749,0.4613,0.2384,3.4527,4.2464,5.8138,1.4664,1.5143,0.9325,1.0233,1.2236,0.9211,1.2336,0.9659,1.0549,1.0832,1.1277
1.2.0,373.0,65.0,0.3861,0.9032,2.7855,0.369,0.5416,0.1718,3.7078,4.5362,6.3807,1.5672,1.8571,0.625,1.0047,1.186,0.9067,1.4482,0.6961,1.1328,1.1571,1.2377
1.3.0,433.0,68.0,0.3441,0.8969,2.8568,0.3481,0.6536,0.1585,3.6236,4.3649,6.2841,1.8193,1.9429,0.5571,0.9977,1.2163,0.8552,1.7478,0.6419,1.1071,1.1134,1.2189
1.3.1,466.0,71.0,0.3519,0.8828,2.9099,0.352,0.6524,0.1625,3.5858,4.2382,6.2554,1.958,2.0286,0.5698,0.9819,1.2389,0.865,1.7445,0.6581,1.0955,1.0811,1.2133
1.5.1,600.0,87.0,0.3217,0.8794,3.0183,0.3641,0.6917,0.1523,3.5183,4.2317,6.32,2.521,2.4857,0.5208,0.9781,1.2851,0.8946,1.8496,0.6169,1.0749,1.0795,1.2259
1.5.2,601.0,87.0,0.3195,0.8806,3.0233,0.3633,0.6938,0.1511,3.5075,4.208,6.2928,2.5252,2.4857,0.5172,0.9795,1.2872,0.8928,1.8554,0.6121,1.0716,1.0734,1.2206
1.5.3,618.0,91.0,0.3204,0.885,3.0324,0.366,0.7006,0.1512,3.5453,4.2249,6.3236,2.5966,2.6,0.5187,0.9844,1.2911,0.8993,1.8736,0.6126,1.0832,1.0777,1.2266
